date,bitcoin_var,dow_var,euro_stoxx50_var,nasdaq_var,nikkei_var,oro_var,petroleo_var,shangai_stock_exchange_var,sp_500_var
2020-06-15,0.86,6.35,3.85,-3.64,-5.07,-0.66,-7.72,2.07,-5.18
2020-06-14,-1.33,-0.6,2.86,11.39,-2.72,-0.42,2.0,-3.15,6.0
2020-06-13,0.05,20.91,-5.72,-11.18,1.09,1.76,2.78,-1.69,-11.98
2020-12-06,1.97,-14.36,3.27,8.37,0.08,-1.79,4.15,2.31,9.29
2020-11-06,-6.03,8.53,-5.25,-10.76,-1.22,5.16,-11.06,0.58,-9.51
2020-10-06,1.13,-15.43,1.6,-5.14,0.95,5.77,23.81,0.58,-4.89
2020-09-06,-0.09,-10.86,-12.4,-0.96,-3.67,0.38,-24.42,3.31,4.94
2020-08-06,0.36,2.85,-0.15,-4.33,-2.13,0.15,-6.1,-3.21,-7.6
2020-07-06,0.76,-21.66,-1.66,-3.16,-0.79,-3.06,-9.55,0.29,-1.71
2020-06-06,0.4,-2.82,-8.45,-1.95,-3.34,2.7,0.73,-0.87,-3.39
2020-05-06,-1.67,-4.32,-3.91,5.72,-0.39,-2.04,-4.49,-0.58,4.22
2020-04-06,1.32,3.33,-1.67,-0.05,0.34,-4.62,-4.02,-0.86,-2.81
2020-03-06,1.47,-2.08,1.44,7.38,0.89,-3.15,10.38,-0.28,4.6
2020-02-06,-6.49,2.5,0.99,-4.56,-1.4,-1.09,-24.59,2.03,-0.82
2020-01-06,7.77,2.17,0.28,-4.93,-0.69,-0.9,-10.07,0.0,-4.42
2020-05-31,-2.45,-8.13,-3.66,0.54,-0.59,0.07,-1.88,-0.58,-0.38
2020-05-30,2.84,-2.05,-3.4,-2.03,-0.14,0.15,-0.85,2.06,-3.03
2020-05-29,-1.54,-4.95,0.14,-0.38,0.74,1.44,0.92,0.59,-3.35
2020-05-28,4.06,-4.27,-2.07,0.6,-0.6,-0.14,4.45,-0.3,-1.05
2020-05-27,4.03,-0.94,-4.01,-0.68,-0.19,3.05,-4.95,0.3,-0.38
2020-05-26,-0.63,2.52,-0.59,-0.35,2.38,1.65,-3.37,1.2,0.47
2020-05-25,1.95,-0.38,-1.09,-0.46,1.02,-4.68,-2.34,0.0,-0.29
2020-05-24,-4.89,-1.83,0.75,1.57,0.49,-0.09,-2.97,0.3,0.18
2020-05-23,0.08,0.68,-0.43,0.3,-1.01,-0.44,-3.65,1.22,-0.16
2020-05-22,1.22,-2.19,0.32,-0.64,0.99,-1.59,-0.74,1.23,0.65
2020-05-21,-4.76,1.21,-0.15,-0.8,-1.72,1.68,0.92,3.85,0.17
